;VlrCond;Garagem;Preco;Quarto;M2;Bairro
573;518;2;490000;1;53;Carmo
574;344;2;500000;1;53;Carmo
575;0;2;596056;1;53;Anchieta
576;280;0;300000;2;53;Anchieta
577;506;1;388000;2;53;Buritis
578;692;1;450000;1;54;Sion
579;160;1;185000;3;54;Serra Verde
580;30;1;180000;2;54;Jardim Leblon
581;230;1;220000;2;54;Santa Monica
582;0;1;180000;2;54;Copacabana
583;0;1;300000;2;54;Santa Amalia
584;0;2;382007;2;54;Liberdade
585;0;2;400588;2;54;Liberdade
586;399;1;260000;2;54;Serrano
587;250;1;280000;2;54;Castelo
588;200;1;229000;2;54;Salgado Filho
589;200;1;210000;2;54;Sagrada Familia
590;242;1;220000;2;54;Sagrada Familia
591;300;2;350000;2;54;Sagrada Familia
592;300;1;310000;2;54;Santa Tereza
593;320;0;195000;1;54;Centro
594;240;1;250000;2;54;Joao Pinheiro
595;530;1;580000;1;54;Barro Preto
596;1;1;610000;1;54;Santo Agostinho
597;0;2;573103;2;54;Serra
598;350;2;585000;2;54;Cruzeiro
599;475;1;470000;1;54;Cruzeiro
600;475;1;490000;1;54;Cruzeiro
601;0;2;735000;1;54;Anchieta
602;0;1;250950;2;54;Havai
603;0;2;480000;2;54;Buritis
604;0;2;480000;2;54;Buritis
605;0;1;160000;2;55;Jaqueline
606;10;1;290000;2;55;Leticia
607;0;1;200000;2;55;Piratininga Venda Nova
608;180;0;130000;2;55;Santa Monica
609;0;2;399000;2;55;Ceu Azul
610;159;1;550;2;55;Floramar
611;250;1;240000;2;55;Planalto
612;0;1;235000;2;55;Ceu Azul
613;100;1;165000;2;55;Santa Monica
614;0;2;269000;2;55;Santa Branca
615;218;1;175000;2;55;Gloria
616;10;2;370000;2;55;Itapoa
617;1;2;550000;2;55;Itapoa
618;200;1;350000;2;55;Parque Leblon
619;140;2;290000;2;55;Heliopolis
620;110;0;210000;2;55;Minaslandia P Maio
621;160;1;200000;2;55;Itatiaia
622;220;2;209900;2;55;Palmares
623;350;1;245000;2;55;Floresta
624;0;0;250000;1;55;Ipiranga
625;225;1;245000;2;55;Nova Vista
626;0;2;420000;2;55;Nova Floresta
627;243;1;225000;2;55;Boa Vista
628;520;1;225000;2;55;Barreiro
629;180;1;300000;2;55;Concordia
630;250;1;235000;2;55;Concordia
631;235;1;281000;3;55;Sagrada Familia
632;150;1;150000;2;55;Olaria
633;430;1;320000;2;55;Sagrada Familia
634;0;2;400000;2;55;Santa Tereza
635;350;2;369770;2;55;Santa Efigenia
636;350;2;370800;2;55;Santa Efigenia
637;350;2;380212;2;55;Santa Efigenia
638;260;2;389330;2;55;Santa Efigenia
639;350;2;398980;2;55;Santa Efigenia
640;350;2;405670;2;55;Santa Efigenia
641;260;2;417850;2;55;Santa Efigenia
642;0;2;417850;2;55;Santa Efigenia
643;430;1;2100;1;55;Centro
644;320;0;250000;1;55;Centro
645;0;0;350000;1;55;Funcionarios
646;0;0;2500;1;55;Floresta
647;0;0;440000;1;55;Floresta
648;350;1;700000;2;55;Lourdes
649;737;1;580000;1;55;Santo Agostinho
650;0;1;610000;1;55;Barro Preto
651;0;0;830346;1;55;Barro Preto
652;0;1;830346;1;55;Santo Agostinho
653;0;2;358000;2;55;Joao Pinheiro
654;1;1;625000;1;55;Santo Agostinho
655;390;0;290000;2;55;Funcionarios
656;396;2;650000;2;55;Santo Antonio
657;0;1;483232;2;55;Anchieta
658;200;1;250000;2;55;Estoril
659;0;1;260000;2;55;Havai
660;70;0;200000;3;55;Betania
661;0;1;355074;2;55;Estrela do Oriente
662;390;1;369000;2;55;Betania
663;383;1;450000;2;55;Estrela do Oriente
664;250;1;258000;2;55;Buritis
665;0;0;285000;1;55;Buritis
666;0;0;410000;1;55;Buritis
667;380;1;240000;2;55;Buritis
668;445;2;330000;2;55;Buritis
669;1;1;209000;2;56;Jardim dos Comerciarios
670;10;1;209000;2;56;Jardim dos Comerciarios
671;10;1;235000;2;56;Jardim dos Comerciarios
672;1;1;258000;2;56;Piratininga Venda Nova
673;0;1;230000;2;56;Jardim Leblon
674;331;1;280000;2;56;Planalto
675;0;1;175000;2;56;Jardim Leblon
676;10;1;230000;2;56;Santa Branca
677;0;1;298000;3;56;Planalto
678;210;1;285000;2;56;Dona Clara
679;100;1;159000;2;56;Bandeirantes
680;0;2;255000;2;56;Santa Terezinha
681;400;1;290000;3;56;Ipiranga
682;250;1;240000;3;56;Sagrada Familia
683;240;1;245000;3;56;Sagrada Familia
684;170;1;250000;2;56;Sagrada Familia
685;150;1;415000;4;56;Jardim Atlantico
686;100;0;179900;2;56;Horto
687;0;1;130000;3;56;Granja De Freitas
688;320;0;210000;2;56;Centro
689;377;1;229700;2;56;Saudade
690;320;2;335000;3;56;Santa Efigenia
691;470;0;180000;1;56;Barro Preto
692;0;2;650000;2;56;Santo Agostinho
693;0;1;820000;1;56;Lourdes
694;145;1;305000;2;56;Joao Pinheiro
695;200;1;370000;2;56;Joao Pinheiro
696;0;2;340000;1;56;Santa Lucia
697;428;2;530000;2;56;Santo Antonio
698;336;2;560700;2;56;Gutierrez
699;30;1;230000;2;56;Copacabana
