Price,Size,Rooms,Toilets,Suites,Parking,New
382900,59,3,2,1,1,0
298000,50,2,2,1,1,0
550000,80,3,2,1,2,0
375000,63,3,2,1,1,0
350000,63,3,2,1,1,0
299900,67,2,2,1,1,0
334000,80,3,2,1,2,0
270000,66,2,2,1,1,0
440000,88,3,3,1,2,0
410000,118,3,2,1,2,0
250550,59,2,2,1,1,0
310800,80,3,3,1,2,0
230000,66,2,2,1,1,0
230000,64,2,2,1,1,0
160000,49,2,2,1,1,0
170000,50,2,2,1,1,0
185000,48,2,2,1,1,0
288000,66,2,2,1,1,0
180000,48,2,2,1,1,0
265000,60,2,2,1,1,0
149800,68,2,2,1,1,0
330000,74,2,2,1,2,0
195000,48,2,2,1,1,0
322000,80,3,2,1,2,0
220000,54,2,2,1,1,0
250000,68,2,2,1,1,0
240000,60,2,2,1,1,0
239500,66,2,2,1,1,0
238000,60,2,2,1,1,0
250000,66,2,2,1,1,0
370000,60,2,2,1,1,0
520000,103,3,3,2,2,0
304000,47,2,2,1,1,0
570000,98,3,3,1,2,0
570000,75,3,2,1,2,0
319000,60,2,2,1,1,0
330000,57,2,2,1,1,0
440000,64,2,2,1,2,0
480000,94,3,3,2,1,0
580000,87,3,2,1,2,0
440000,63,3,2,1,1,0
424000,63,3,2,1,1,0
950000,197,4,4,3,2,0
460000,63,3,2,1,1,0
420000,82,3,2,1,1,0
750000,118,3,3,1,2,0
390000,63,2,2,1,1,0
745000,97,3,2,1,2,0
450000,63,2,2,1,1,0
570000,98,3,2,1,1,0
930000,160,3,4,1,2,0
370000,48,2,2,1,1,0
430000,63,3,2,1,2,0
550000,70,2,2,1,1,0
740000,93,2,2,1,2,0
580000,72,2,3,1,2,0
690000,87,3,2,1,2,0
405000,62,2,2,1,1,0
580000,108,3,3,2,2,0
370000,45,1,2,1,2,0
790000,113,3,2,1,2,0
430000,65,2,2,1,1,0
470000,70,2,2,1,2,0
199000,45,2,2,1,1,0
490000,74,2,2,1,1,0
486000,70,2,2,1,1,0
620000,90,3,2,1,2,0
385000,61,3,2,1,2,0
199990,47,2,2,1,1,0
310000,67,3,2,1,2,0
460000,65,2,2,1,1,0
375000,57,2,2,1,1,0
360000,54,2,2,1,2,0
225000,47,2,2,1,1,0
440000,66,2,2,1,1,0
380000,54,2,2,1,1,0
455200,65,2,2,1,1,0
310000,67,3,2,1,2,0
380000,55,2,2,1,1,0
300000,67,3,2,1,2,0
860000,145,3,2,1,2,0
630000,86,3,2,1,1,0
270000,68,2,2,1,1,0
350000,64,3,2,1,1,0
239000,64,3,2,1,1,0
325000,50,2,1,0,1,1
340000,54,2,2,1,1,0
410000,77,3,2,1,2,0
300000,67,3,2,1,2,0
205000,49,2,2,1,1,0
228000,44,2,2,1,1,0
380000,58,2,2,1,2,0
215000,52,2,2,1,1,0
169000,40,2,1,0,1,1
179999,40,2,2,1,1,0
159000,35,2,2,1,1,0
169000,37,1,2,1,1,0
195000,48,2,2,1,1,0
154500,47,2,2,1,1,0
199000,45,2,2,1,1,0
160000,43,2,2,1,1,0
169000,40,2,2,1,1,0
240000,45,2,2,1,1,0
219000,56,2,2,1,1,0
179000,40,2,2,1,1,0
180000,60,2,2,1,1,0
179000,42,2,2,1,1,0
250000,45,2,2,1,1,0
220000,52,2,2,1,1,0
165000,39,1,2,1,1,0
194900,43,2,2,1,1,0
170000,32,1,2,1,1,0
185000,56,2,2,1,1,0
179000,40,2,2,1,1,1
150000,49,2,2,1,1,0
179000,40,2,2,1,1,1
179000,40,2,2,1,1,0
185000,48,2,2,1,1,0
160000,48,2,2,1,1,0
220000,56,2,2,1,1,0
170000,48,2,2,1,1,0
699000,87,3,2,1,2,0
322000,55,2,2,1,1,0
722000,95,3,4,3,2,0
327000,55,2,2,1,1,0
700000,95,3,3,1,2,0
379000,65,3,2,1,1,0
1200000,232,3,2,3,3,0
209000,44,2,2,1,1,1
379000,65,3,2,1,1,0
520000,78,2,2,1,1,1
322000,55,2,2,1,1,0
379000,65,3,2,1,1,0
247900,44,2,2,1,1,0
235000,38,1,2,1,1,0
385000,65,3,2,1,1,0
899999,119,3,4,3,2,0
625000,91,3,2,1,2,1
480000,63,3,2,1,1,0
321900,56,2,2,1,1,0
480000,71,2,2,1,1,1
175000,32,1,2,1,1,0
220000,44,2,2,1,1,0
322000,55,2,2,1,1,0
299900,53,2,2,1,1,0
232000,44,2,2,1,1,0
300000,54,2,2,1,1,0
370000,50,2,2,1,1,0
415000,50,1,2,1,1,0
420000,54,2,2,1,1,0
372500,55,2,2,1,1,0
800000,95,3,2,1,2,0
917000,119,3,4,3,2,0
1364000,136,3,2,1,2,0
430000,54,2,2,1,1,0
1380000,198,4,2,1,2,0
703000,91,3,2,1,1,0
950000,220,3,2,1,2,0
590000,95,3,2,1,1,0
905000,247,3,4,3,3,0
1900000,221,4,5,4,4,0
240000,44,2,2,1,1,0
339000,78,1,1,0,1,1
375000,72,2,2,1,1,0
690000,85,2,2,1,2,0
450000,65,2,2,1,1,0
