Price;Condo;Size;Rooms;Toilets;Suites;Parking;Elevator;Furnished;Swimming Pool;New;District;Negotiation Type;Property Type;Latitude;Longitude
585000;900;50;1;2;1;1;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.186.739;-466.853.961
1259000;850;80;2;2;1;1;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.116.403;-466.926.875
1770000;2800;180;4;3;2;4;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.100.161;-466.817.975
980862;0;100;3;2;1;2;0;0;1;0;Brooklin/São Paulo;sale;apartment;-235.053.909;-466.227.832
2109500;3400;315;4;6;4;4;0;0;1;0;Brooklin/São Paulo;sale;apartment;-23.610.753;-466.811.536
1300000;1200;139;4;2;1;1;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.165.496;-466.792.578
800000;1481;76;2;2;1;2;1;0;0;0;Brooklin/São Paulo;sale;apartment;-236.069.955;-4.669.516
1950000;1600;138;2;3;2;2;0;0;0;0;Brooklin/São Paulo;sale;apartment;-236.172.149;-466.840.777
1462500;900;128;3;4;3;3;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.126.842;-466.851.879
1380000;0;184;3;2;1;2;1;0;0;0;Brooklin/São Paulo;sale;apartment;-236.100.398;-466.825.835
1200000;2217;121;3;2;1;3;0;0;0;0;Brooklin/São Paulo;sale;apartment;-236.104.856;-466.811.616
592617;0;65;2;2;1;1;1;0;1;1;Brooklin/São Paulo;sale;apartment;0.0;0.0
1950000;2600;210;3;2;1;2;0;0;0;0;Brooklin/São Paulo;sale;apartment;-23.610.067;-46.682.032
1300000;1800;169;3;4;3;2;0;0;0;0;Brooklin/São Paulo;sale;apartment;-236.220.498;-466.808.683
850000;1680;116;3;2;1;2;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.120.761;-466.818.755
620000;870;62;2;2;1;1;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.127.102;-466.837.266
1070000;1000;93;2;2;1;2;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.154.236;-466.859.729
2239000;1490;167;3;4;3;3;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.119.465;-466.914.314
1890000;1442;178;4;4;3;3;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.155.658;-466.807.763
1500000;1400;98;2;2;1;2;0;1;1;0;Brooklin/São Paulo;sale;apartment;-236.068.912;-466.959.343
1500000;0;140;3;3;2;2;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.106.241;-466.813.139
2700000;0;180;2;3;2;2;0;1;0;0;Brooklin/São Paulo;sale;apartment;-23.606.882;-46.696.656
3150000;0;210;4;4;3;3;1;1;0;0;Brooklin/São Paulo;sale;apartment;-23.606.882;-46.696.656
1500000;650;184;3;2;1;2;0;0;0;0;Brooklin/São Paulo;sale;apartment;-236.111.147;-466.907.737
636000;850;65;2;1;0;1;0;0;0;0;Brooklin/São Paulo;sale;apartment;-23.612.855;-466.836.298
1800000;2800;180;4;4;3;3;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.100.161;-466.817.975
3460000;2200;240;3;4;3;4;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.108.372;-466.930.098
2150000;1580;178;3;4;3;3;0;0;1;0;Brooklin/São Paulo;sale;apartment;0.0;0.0
580000;0;70;2;2;0;1;0;0;0;0;Brooklin/São Paulo;sale;apartment;-236.168.081;-466.793.209
2350000;1625;178;2;3;2;3;1;0;1;0;Brooklin/São Paulo;sale;apartment;0.0;0.0
640000;750;67;3;2;1;1;0;0;0;0;Brooklin/São Paulo;sale;apartment;-236.127.342;-466.794.609
2400000;1580;178;3;4;3;3;1;0;1;0;Brooklin/São Paulo;sale;apartment;0.0;0.0
3200000;2300;226;4;5;4;4;0;0;1;0;Brooklin/São Paulo;sale;apartment;-23.614.159;-466.883.148
1550000;0;158;4;4;3;3;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.113.553;-466.804.634
885000;760;72;2;2;1;2;0;0;1;0;Brooklin/São Paulo;sale;apartment;-236.140.789;-466.886.764
